Capillary Pressure,NW Saturation,W Saturation
-0.2405636907,0.1812763783,0.8187236217
-0.2424482703,0.1803157978,0.8196842022
-0.2423388958,0.1790484117,0.8209515883
-0.2439203858,0.1780532458,0.8219467542
-0.2448054552,0.1769654805,0.8230345195
-0.2475316525,0.1761711328,0.8238288672
-0.2489782572,0.1751737357,0.8248262643
-0.2498502731,0.1741049364,0.8258950636
-0.2495276928,0.1728297407,0.8271702593
-0.246692121,0.1711529086,0.8288470914
-0.2464157939,0.169939074,0.830060926
-0.2476868629,0.1689673369,0.8310326631
-0.2496129274,0.1680335322,0.8319664678
-0.2517565489,0.1671287345,0.8328712655
-0.2535165548,0.1661581131,0.8338418869
-0.2531756163,0.1648795704,0.8351204296
-0.2528387308,0.1635619798,0.8364380202
-0.254973352,0.1626170185,0.8373829815
-0.2557139397,0.1614924364,0.8385075636
-0.2579491138,0.1606021423,0.8393978577
-0.2603581548,0.1597799032,0.8402200968
-0.2594394088,0.1584723535,0.8415276465
-0.2604088187,0.1574637997,0.8425362003
-0.2596127987,0.1561774474,0.8438225526
-0.2579898238,0.1547672573,0.8452327427
-0.259467721,0.1538468404,0.8461531596
-0.2573457956,0.1523563229,0.8476436771
-0.2557646632,0.1509104317,0.8490895683
-0.2559264302,0.1497044067,0.8502955933
-0.255068779,0.1483455368,0.8516544632
-0.2545864582,0.1470971168,0.8529028832
-0.2522471547,0.1455764766,0.8544235234
-0.2520488501,0.1443135531,0.8556864469
-0.2518197298,0.1430684801,0.8569315199
-0.2544705868,0.1422540507,0.8577459493
-0.2576001883,0.1415032136,0.8584967864
-0.2579956055,0.1404121013,0.8595878987
-0.2585371137,0.1393723092,0.8606276908
-0.2599983811,0.1384340418,0.8615659582
-0.2632402182,0.1377456816,0.8622543184
-0.2656908631,0.136980341,0.863019659
-0.2681021094,0.1362451232,0.8637548768
-0.2704972625,0.1355366811,0.8644633189
-0.2742353678,0.1350134381,0.8649865619
-0.276956737,0.1343685885,0.8656314115
-0.278464973,0.1335987853,0.8664012147
-0.2796900868,0.1327899341,0.8672100659
-0.2790058851,0.1317144409,0.8682855591
-0.2795524001,0.1308219155,0.8691780845
-0.2796505094,0.1298490628,0.8701509372
-0.2811214924,0.129068103,0.870931897
-0.2815964818,0.1281365296,0.8718634704
-0.2837071419,0.127455979,0.872544021
-0.2837838531,0.126506555,0.873493445
-0.2857400775,0.1258271201,0.8741728799
-0.2877033353,0.1251800391,0.8748199609
-0.2890635729,0.1244671344,0.8755328656
-0.290291965,0.1237475358,0.8762524642
-0.2892694473,0.1227389821,0.8772610179
-0.2891446948,0.1218152182,0.8781847818
-0.2884441614,0.1208222837,0.8791777163
-0.2872097492,0.1197612941,0.8802387059
