X,T,k,A,rho_l,rho_g,objective,err_l,err_g,err_int_thickness
0.65,0.37142857141,0.06002080154305792,0.2845938216580597,7.80359137,0.31316375,1.0105610902165407,0.00019949208268498284,0.9621851629521707,0.04817643518168495
0.65,0.37142857141,0.06171843578256297,0.283762770262212,7.80359137,0.31316375,0.9680497727706988,0.0003023315189400695,0.9392366217182048,0.0285108195335539
0.65,0.37142857141,0.061456968816303546,0.28295510626269943,7.80359137,0.31316375,0.9765878993844294,0.0003410108791001823,0.9453843001332356,0.030862588372093568
0.65,0.37142857141,0.05287904166480874,0.27320545914853767,7.80359137,0.31316375,1.232960803054704,0.00032506251732800307,1.1084688853419282,0.12416685519544757
0.65,0.37142857141,0.06266697106721253,0.3060784545791081,7.80359137,0.31316375,0.9148756091497661,9.200867901730761e-05,0.8666232134372374,0.0481603870335114
0.65,0.37142857141,0.051959883459807954,0.3147091500576487,7.80359137,0.31316375,1.1320189414296162,0.0003337394038094186,0.992943920401641,0.13874128162416569
0.65,0.37142857141,0.06271523267805189,0.3025328379300834,7.80359137,0.31316375,0.919255416087592,7.062198698564966e-05,0.87475604002158,0.044428754079026335
0.65,0.37142857141,0.06320592533318344,0.3042866888896272,7.80359137,0.31316375,0.9062995768697596,0.00014180911903388256,0.8637330432597685,0.042424724490957286
0.65,0.37142857141,0.06428164886190962,0.307869147214054,7.80359137,0.31316375,0.8781095991961565,0.0003857396178635355,0.8402159845203631,0.03750787505792985
0.65,0.37142857141,0.05759948995007841,0.3150131168077954,7.80359137,0.31316375,1.0068349900051399,0.0001580630049779426,0.9139487270663087,0.09272819993385326
0.65,0.37142857141,0.06899083607383895,0.30775088593517114,7.80359137,0.31316375,0.7875583579793939,0.0003937443511668132,0.7833227419053725,0.0038418717228545065
0.65,0.37142857141,0.07058340628649729,0.3061512029761578,7.80359137,0.31316375,0.7782195424021107,0.0002535087562735132,0.7690266297967101,0.008939403849127104
0.65,0.37142857141,0.0692865323618942,0.3368687933630214,7.80359137,0.31316375,0.7386736283101616,0.0002798449398896406,0.7267168984980198,0.011676884872252203
0.65,0.37142857141,0.06945682876784816,0.34595270594642064,7.80359137,0.31316375,0.7190119582865628,0.00022258971007917345,0.7119065131052269,0.006882855471256733
0.65,0.37142857141,0.06964918486032698,0.3473613230136608,7.80359137,0.31316375,0.7131264906953462,0.0002167847508134377,0.7081417738157746,0.00476793212875819
0.65,0.37142857141,0.0699834959793196,0.35323599217465135,7.80359137,0.31316375,0.6992058005256733,0.00027917278671150275,0.6971728309446711,0.0017537967942907074
0.65,0.37142857141,0.07884592571517215,0.35272587679114636,7.80359137,0.31316375,0.6794219532096443,0.0002638354732830852,0.6215984495026313,0.05755966823372986
0.65,0.37142857141,0.07883726682046627,0.35386574329822895,7.80359137,0.31316375,0.6778832855540661,0.0002647520457987277,0.620571044917977,0.057047488590290386
0.65,0.37142857141,0.07699755958372562,0.36057158521235694,7.80359137,0.31316375,0.675865036400535,0.0004924286586843206,0.6281210792017987,0.04725152854005188
0.65,0.37142857141,0.0804483510662221,0.368436532424605,7.80359137,0.31316375,0.6572885971643111,0.0005950847804362787,0.5955343866595124,0.06115912572436244
0.65,0.37142857141,0.08743110045292839,0.37195587681264036,7.80359137,0.31316375,0.6359987093235497,0.0003850063598510215,0.5445128430879802,0.0911008598757185
0.65,0.37142857141,0.08731565195112483,0.37609833494812506,7.80359137,0.31316375,0.6357931960874442,0.0003829287954822319,0.5434306232902135,0.09197964400174855
0.65,0.37142857141,0.08868326334354719,0.3786925251938183,7.80359137,0.31316375,0.6331736413779977,0.0004737916841995901,0.5334041975556807,0.09929565213811742
0.65,0.37142857141,0.08779314836964716,0.38061398882601605,7.80359137,0.31316375,0.6351329723919961,0.0003880616015698298,0.5385856626743059,0.09615924811612046
0.65,0.37142857141,0.0904052085620104,0.38190005321157633,7.80359137,0.31316375,0.6307665511856835,0.0006476960428341574,0.5207097174551447,0.10940913768770458
0.65,0.37142857141,0.08819260772010687,0.38838352792955855,7.80359137,0.31316375,0.6295398024770793,0.0005322690106975806,0.5333210230830068,0.09568651038337492
0.65,0.37142857141,0.01,0.2,7.80359137,0.31316375,4.153477827405327,0.0006179379884929647,2.517499077321098,1.6353608120957361
0.65,0.37142857141,0.035776592896517516,0.14809240142291513,7.80359137,0.31316375,2.5996628214453104,0.00011269251614284705,2.2898838534676957,0.30966627546147196
0.65,0.37142857141,0.03525027484945442,0.07286457858926335,7.80359137,0.31316375,3.5638415451149665,0.0002877578666305614,3.267826463495832,0.2957273237525044
0.65,0.37142857141,0.012676133141741486,0.15726404892605017,7.80359137,0.31316375,4.026210608523211,0.00040077140712007226,2.759063630927987,1.2667462061881047
0.65,0.37142857141,0.06934001295461545,0.10998561423627673,7.80359137,0.31316375,2.0705718431451396,3.864806118896171e-06,2.010725580195789,0.05984239814323189
0.65,0.37142857141,0.09514023693776483,0.20284629869454515,7.80359137,0.31316375,0.9682374106629504,0.0001949396232131659,0.816477000300093,0.15156547073964433
0.65,0.37142857141,0.05228028058475313,0.13732669706020872,7.80359137,0.31316375,2.125038607866466,0.0002873912376243044,2.0326575656893624,0.09209365093947923
0.65,0.37142857141,0.07077334809862426,0.07917504313630054,7.80359137,0.31316375,2.5177741597516348,6.344201963565761e-05,2.4465742821329526,0.07113643559904688
0.65,0.37142857141,0.12110956352004558,0.28053239029729593,7.80359137,0.31316375,0.6322907802298646,0.0004929174973593299,0.3901195144472125,0.2416783482852928
0.65,0.37142857141,0.12887323344871932,0.21157828006003165,7.80359137,0.31316375,0.7102832312893268,0.00013114617612444904,0.4457556234420395,0.2643964616711628
0.65,0.37142857141,0.1845333865005198,0.33481012846471303,7.80359137,0.31316375,0.5920516130033135,0.0009606138996745012,0.24614507324041385,0.34494592586322526
0.65,0.37142857141,0.21454485751913532,0.33351678561377274,7.80359137,0.31316375,0.7081756848029709,0.0012724318694960742,0.2751912359413254,0.43171201699214945
0.65,0.37142857141,0.1851515987220373,0.33069705718769277,7.80359137,0.31316375,0.5862621305887795,0.0009457043200867168,0.24057019476934693,0.34474623149934586
0.65,0.37142857141,0.19169051035163265,0.4159722890228982,7.80359137,0.31316375,0.7545083808710644,0.0017733081968775034,0.39130603541437353,0.3614290372598134
0.65,0.37142857141,0.18132407643086904,0.3558394523342594,7.80359137,0.31316375,0.6552220380273672,0.0010452440952854905,0.2754645506844828,0.37871224324759895
0.65,0.37142857141,0.17774239255839352,0.33499479278445937,7.80359137,0.31316375,0.6213314339141585,0.0009466208926023592,0.24520588688936215,0.3751789261321939
