temp,k,A,kappa,rho_l_pred,rho_g_pred,rho_l_calc,rho_g_calc,p_l,p_g,delta_p,radius,sigma,interface,spurious_current
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.8380346,0.9014319,0.3747656,0.30153388,0.07323173,26.863368925773308,1.96725089637898,11.942288876888778,5.9172206e-05
0.8,0.02,-0.23999999463558197,0.5,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.992255445678197,1.787677731852424e-06,5.432319447753258,0.0516287
0.8,0.02,-0.23999999463558197,0.5,6.7644704,0.838834226,6.811162,0.93812674,0.34187296,0.30928603,0.032586932,25.49835709102226,0.830913233285517,12.5758974389855,1.6361866e-05
0.8,0.02,-0.23999999463558197,1.0,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.99196278363864,1.787660287835517e-06,5.432977520145137,0.051234193
0.8,0.02,-0.23999999463558197,1.0,6.7644704,0.838834226,6.783111,0.97790664,0.30880138,0.31730658,-0.008505195,23.881305965049748,0.20311517314456856,13.29163964451098,4.640554e-05
0.8,0.143312649,-0.3724253177642822,0.0,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.98756823468782,1.7873983523063553e-06,5.400213222205501,0.059915923
0.8,0.143312649,-0.3724253177642822,0.0,6.7644704,0.838834226,6.8031454,0.908321,0.3322917,0.30301526,0.02927643,27.38614505738598,0.8017685753614708,4.802136909678065,0.001440243
0.8,0.143312649,-0.3724253177642822,0.05,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.987535017300324,1.7873963723957732e-06,5.400268565697171,0.059823412
0.8,0.143312649,-0.3724253177642822,0.05,6.7644704,0.838834226,6.801857,0.90942335,0.33076096,0.30325115,0.027509809,27.344864480193273,0.7522519864117767,4.796784262580729,0.0013080364
0.8,0.143312649,-0.3724253177642822,0.5,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.987236875423395,1.7873786017551062e-06,5.400766860997095,0.058990847
0.8,0.143312649,-0.3724253177642822,0.5,6.7644704,0.838834226,6.790303,0.9195796,0.3171598,0.3054103,0.011749506,26.927501897683396,0.3163848450230921,4.838704519369195,0.00023219279
0.8,0.143312649,-0.3724253177642822,0.95,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.98693814526255,1.7873607960499852e-06,5.4012655361869335,0.05815867
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.988756360905917,1.7874691701475332e-06,5.396388205598228,0.061725054
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784767,0.8369899,0.3107189,0.2870932,0.023625702,29.90608872921115,0.7065523303096279,4.368696973749369,0.0016218722
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.988756360905917,1.7874691701475332e-06,5.396388205598228,0.061725054
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.988756360905917,1.7874691701475332e-06,5.396388205598228,0.061725054
